id,token,pos,class,meaning,idiomliteral
,the,DT,,,
,House,NNP,,,
,appreciates,VBZ,,,
,that,IN,,,
,some,DT,,,
,problems,NNS,,,
,go,VBP,,,
,beyond,IN,,,
,national,JJ,,,
,frontiers,NNS,,,
10,I,PRP,Euphemism,,
,think,VBP,,,
,he,PRP,,,
,was,VBD,,,
,getting,VBG,,,
,cold,JJ,,,
,feet,NNS,,,
,about,IN,,,
,testifying,VBG,,,
,under,IN,,,
,oath,NN,,,
,about,IN,,,
,their,PRP$,,,
,party,NN,,,
,line,NN,,,
,story,NN,,,
11,if,IN,Euphemism,,
,he,PRP,,,
,or,CC,,,
,she,PRP,,,
,has,VBZ,,,
,second,JJ,,,
,thoughts,NNS,,,
,or,CC,,,
,cold,JJ,,,
,feet,NNS,,,
,",",",",,,
,he,PRP,,,
,or,CC,,,
,she,PRP,,,
,can,MD,,,
,simply,RB,,,
,say,VB,,,
,",",",",,,
,','',,,
,Something,VBG,,,
,'s,POS,,,
,come,VBN,,,
,up,RP,,,
,.,.,,,
12,the,DT,Euphemism,,
,assassination,NN,,,
,attempts,NNS,,,
,failed,VBD,,,
,because,IN,,,
,they,PRP,,,
,were,VBD,,,
,abandoned,VBN,,,
,",",",",,,
,or,CC,,,
,the,DT,,,
,assassins,NNS,,,
,got,VBD,,,
,cold,JJ,,,
,feet,NNS,,,
13,I,PRP,Euphemism,,
,suspected,VBD,,,
,that,IN,,,
,he,PRP,,,
,was,VBD,,,
,getting,VBG,,,
,nervous,JJ,,,
,",",",",,,
,possibly,RB,,,
,getting,VBG,,,
,cold,JJ,,,
,feet,NNS,,,
,because,IN,,,
,the,DT,,,
,wedding,NN,,,
,was,VBD,,,
,coming,VBG,,,
,up,RP,,,
,in,IN,,,
,the,DT,,,
,next,JJ,,,
,few,JJ,,,
,months,NNS,,,
,.,.,,,
14,she,PRP,Euphemism,,
,asked,VBD,,,
,organizers,NNS,,,
,to,TO,,,
,keep,VB,,,
,her,PRP$,,,
,appearance,NN,,,
,a,DT,,,
,surprise,NN,,,
,``,``,,,
,because,IN,,,
,I,PRP,,,
,might,MD,,,
,get,VB,,,
,cold,JJ,,,
,feet.,NN,,,
,``,``,,,
,But,CC,,,
,she,PRP,,,
,insisted,VBD,,,
,in,IN,,,
,2006,CD,,,
,that,IN,,,
,she,PRP,,,
,has,VBZ,,,
,conquered,VBN,,,
,the,DT,,,
,stage,NN,,,
,fright,VBD,,,
15,I,PRP,Euphemism,,
,basically,RB,,,
,got,VBD,,,
,cold,JJ,,,
,feet,NNS,,,
,about,IN,,,
,going,VBG,,,
,overseas,RB,,,
,",",",",,,
,and,CC,,,
,we,PRP,,,
,stopped,VBD,,,
,the,DT,,,
,process,NN,,,
,.,.,,,
16,Only,RB,Euphemism,,
,when,WRB,,,
,investors,NNS,,,
,started,VBD,,,
,getting,VBG,,,
,cold,JJ,,,
,feet,NNS,,,
,about,IN,,,
,a,DT,,,
,cacophony,NN,,,
,of,IN,,,
,negative,JJ,,,
,press,NN,,,
,did,VBD,,,
,the,DT,,,
,company,NN,,,
,finally,RB,,,
,offer,VBP,,,
,any,DT,,,
,assistance,NN,,,
17,stamping,VBG,Literal,,
,his,PRP$,,,
,cold,JJ,,,
,feet,NNS,,,
,on,IN,,,
,the,DT,,,
,hard,JJ,,,
,wet,NN,,,
,cobblestones,NNS,,,
18,We,PRP,Literal,,
,are,VBP,,,
,all,DT,,,
,tired,JJ,,,
,",",",",,,
,and,CC,,,
,have,VBP,,,
,cold,VBN,,,
,feet,NNS,,,
,and,CC,,,
,hands,NNS,,,
19,a,DT,Literal,,
,pilot,NN,,,
,who,WP,,,
,had,VBD,,,
,cold,VBN,,,
,feet,NNS,,,
,one,CD,,,
,minute,NN,,,
,and,CC,,,
,was,VBD,,,
,extremely,RB,,,
,hot,JJ,,,
,indeed,RB,,,
,the,DT,,,
,next,JJ,,,
20,Two,CD,Literal,,
,weeks,NNS,,,
,ago,IN,,,
,he,PRP,,,
,was,VBD,,,
,forced,VBN,,,
,out,IN,,,
,of,IN,,,
,a,DT,,,
,reserve,NN,,,
,match,NN,,,
,complaining,NN,,,
,of,IN,,,
,cold,JJ,,,
,feet,NNS,,,
21,The,DT,Literal,,
,inexpensive,JJ,,,
,answer,NN,,,
,to,TO,,,
,the,DT,,,
,problem,NN,,,
,of,IN,,,
,cold,JJ,,,
,feet,NNS,,,
,is,VBZ,,,
,the,DT,,,
,purchase,NN,,,
,of,IN,,,
,a,DT,,,
,pair,NN,,,
,of,IN,,,
,fleecy,JJ,,,
,boot,NN,,,
,liners,NNS,,,
22,wearing,VBG,Literal,,
,socks,NNS,,,
,all,PDT,,,
,the,DT,,,
,time,NN,,,
,is,VBZ,,,
,a,DT,,,
,major,JJ,,,
,cause,NN,,,
,for,IN,,,
,getting,VBG,,,
,cold,JJ,,,
,feet,NNS,,,
23,taken,VBN,Metaphor,surprised,
,aback,NN,,,
24,Are,NNP,Metaphor,,
,you,PRP,,,
,taken,VBN,,,
,aback,RB,,,
,?,.,,,
25,I,PRP,Metaphor,,
,was,VBD,,,
,completely,RB,,,
,taken,VBN,,,
,aback,NN,,,
,to,TO,,,
,see,VB,,,
,the,DT,,,
,Wall,NNP,,,
,Street,NNP,,,
,Journal,NNP,,,
,headlines,NNS,,,
,of,IN,,,
,Petraeus,NNP,,,
,stepping,VBG,,,
,down,RP,,,
,.,.,,,
26,Carter,NN,Metaphor,,
,was,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,by,IN,,,
,what,WP,,,
,I,PRP,,,
,just,RB,,,
,said,VBD,,,
27,At,IN,Metaphor,,
,one,CD,,,
,point,NN,,,
,even,RB,,,
,he,PRP,,,
,was,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,a,DT,,,
,bit,NN,,,
,by,IN,,,
,the,DT,,,
,sight,NN,,,
,of,IN,,,
,a,DT,,,
,baby,NN,,,
,adorned,VBN,,,
,in,IN,,,
,green,JJ,,,
,ear,NN,,,
,protectors,NNS,,,
28,In,IN,Metaphor,,
,all,DT,,,
,fairness,VBP,,,
,the,DT,,,
,Ebay,NNP,,,
,rep,NN,,,
,was,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,by,IN,,,
,this,DT,,,
,ban,NN,,,
,and,CC,,,
,agreed,VBD,,,
,that,IN,,,
,it,PRP,,,
,was,VBD,,,
,discriminatory,JJ,,,
29,While,IN,Metaphor,,
,the,DT,,,
,food,NN,,,
,community,NN,,,
,was,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,at,IN,,,
,the,DT,,,
,unceremonious,JJ,,,
,cancellation,NN,,,
,",",",",,,
,its,PRP$,,,
,not,RB,,,
,without,IN,,,
,precedent,NN,,,
,.,.,,,
30,these,DT,Metaphor,,
,strangers,NNS,,,
,and,CC,,,
,neighbors,NNS,,,
,are,VBP,,,
,just,RB,,,
,taken,VBN,,,
,aback,RP,,,
,by,IN,,,
,how,WRB,,,
,beautiful,JJ,,,
,she,PRP,,,
,truly,RB,,,
,is,VBZ,,,
31,Most,JJS,Metaphor,,
,men,NNS,,,
,are,VBP,,,
,too,RB,,,
,kind,NN,,,
,",",",",,,
,taken,VBN,,,
,aback,NN,,,
,",",",",,,
,or,CC,,,
,disgusted,VBN,,,
,by,IN,,,
,that,DT,,,
,realization,NN,,,
,",",",",,,
,and,CC,,,
,just,RB,,,
,simply,RB,,,
,say,VB,,,
,nothing,NN,,,
32,Monarchies,NNS,Metaphor,,
,that,WDT,,,
,narrowly,RB,,,
,escaped,VBD,,,
,the,DT,,,
,Arab,JJ,,,
,Spring,NN,,,
,were,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,when,WRB,,,
,a,DT,,,
,popular,JJ,,,
,Islamist,NNP,,,
,party,NN,,,
,suddenly,RB,,,
,became,VBD,,,
,a,DT,,,
,key,JJ,,,
,player,NN,,,
,in,IN,,,
,the,DT,,,
,region,NN,,,
33,He,PRP,Metaphor,,
,was,VBD,,,
,visibly,RB,,,
,taken,VBN,,,
,aback,NN,,,
,by,IN,,,
,the,DT,,,
,confrontational,JJ,,,
,testimony,NN,,,
,from,IN,,,
,an,DT,,,
,LAPD,NNP,,,
,narcotics,NNS,,,
,officer,NN,,,
34,I,PRP,Metaphor,,
,suppose,VBP,,,
,I,PRP,,,
,am,VBP,,,
,taken,VBN,,,
,aback,NN,,,
,that,IN,,,
,these,DT,,,
,guys,NNS,,,
,are,VBP,,,
,still,RB,,,
,around,IN,,,
35,I,PRP,Metaphor,,
,was,VBD,,,
,shocked,VBN,,,
,and,CC,,,
,somewhat,RB,,,
,taken,VBN,,,
,aback,RB,,,
,by,IN,,,
,this,DT,,,
,statement,NN,,,
36,I,PRP,Metaphor,,
,am,VBP,,,
,taken,VBN,,,
,aback,NN,,,
,and,CC,,,
,humbled,VBN,,,
,by,IN,,,
,the,DT,,,
,amount,NN,,,
,of,IN,,,
,thoughtful,JJ,,,
,responses,NNS,,,
37,I,PRP,Metaphor,,
,could,MD,,,
,tell,VB,,,
,you,PRP,,,
,were,VBD,,,
,taken,VBN,,,
,aback,RB,,,
,by,IN,,,
,my,PRP$,,,
,approach,NN,,,
38,I,PRP,Metaphor,,
,was,VBD,,,
,completely,RB,,,
,taken,VBN,,,
,aback,NN,,,
,by,IN,,,
,the,DT,,,
,over-abundance,NN,,,
,of,IN,,,
,signs,NNS,,,
39,around,IN,Metaphor,ceaselessly,
,the,DT,,,
,clock,NN,,,
40,You,PRP,Metaphor,,
,do,VBP,,,
,n't,RB,,,
,mind,VB,,,
,being,VBG,,,
,on,IN,,,
,call,NN,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,?,.,,,
41,I,PRP,Metaphor,,
,'ve,VBP,,,
,got,VBD,,,
,a,DT,,,
,team,NN,,,
,working,VBG,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,so,IN,,,
,it,PRP,,,
,should,MD,,,
,only,RB,,,
,be,VB,,,
,a,DT,,,
,matter,NN,,,
,of,IN,,,
,time,NN,,,
42,a,DT,Metaphor,,
,soundproofed,NN,,,
,room,NN,,,
,where,WRB,,,
,teams,NNS,,,
,of,IN,,,
,analysts,NNS,,,
,worked,VBN,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,to,TO,,,
,monitor,VB,,,
,the,DT,,,
,fluctuating,NN,,,
,developments,NNS,,,
,in,IN,,,
,world,NN,,,
,affairs,NNS,,,
43,I,PRP,Metaphor,,
,do,VBP,,,
,n't,RB,,,
,suffer,VB,,,
,from,IN,,,
,constant,JJ,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,insomnia,NN,,,
44,We,PRP,Metaphor,,
,'re,VBP,,,
,gon,VBG,,,
,na,TO,,,
,rock,VB,,,
,Around,IN,,,
,The,DT,,,
,clock,NN,,,
,Tonight,NNP,,,
45,I,PRP,Metaphor,,
,'d,MD,,,
,rather,RB,,,
,work,VB,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,to,TO,,,
,get,VB,,,
,the,DT,,,
,money,NN,,,
,back,RB,,,
,to,TO,,,
,my,PRP$,,,
,father,NN,,,
,in,IN,,,
,time,NN,,,
,than,IN,,,
,spend,VB,,,
,one,CD,,,
,minute,NN,,,
,longer,NN,,,
46,They,PRP,Metaphor,,
,spent,VBD,,,
,two,CD,,,
,days,NNS,,,
,working,VBG,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,typing,VBG,,,
,it,PRP,,,
,into,IN,,,
,a,DT,,,
,computer,NN,,,
47,From,IN,Metaphor,,
,then,RB,,,
,on,IN,,,
,",",",",,,
,it,PRP,,,
,was,VBD,,,
,working,VBG,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,with,IN,,,
,tons,NNS,,,
,of,IN,,,
,gear,JJ,,,
,filling,VBG,,,
,3,CD,,,
,huge,JJ,,,
,lorries,NNS,,,
48,They,PRP,Metaphor,,
,are,VBP,,,
,n't,RB,,,
,on,IN,,,
,call,VB,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,for,IN,,,
,emergency,NN,,,
,care,NN,,,
49,A,DT,Metaphor,,
,response,NN,,,
,team,NN,,,
,'s,POS,,,
,been,VBN,,,
,set,VBN,,,
,up,RP,,,
,to,TO,,,
,deal,VB,,,
,with,IN,,,
,complaints,NNS,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
50,For,IN,Metaphor,,
,the,DT,,,
,past,JJ,,,
,4,CD,,,
,days,NNS,,,
,",",",",,,
,they,PRP,,,
,'ve,VBP,,,
,been,VBN,,,
,working,VBG,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,and,CC,,,
,through,IN,,,
,the,DT,,,
,night,NN,,,
,.,.,,,
51,The,DT,Metaphor,,
,drillers,NNS,,,
,on,IN,,,
,the,DT,,,
,150ft,CD,,,
,high,JJ,,,
,derrick,NN,,,
,",",",",,,
,are,VBP,,,
,working,VBG,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,7,CD,,,
,days,NNS,,,
,a,DT,,,
,week,NN,,,
,.,.,,,
52,Mr,NNP,Metaphor,,
,Hayward,NNP,,,
,had,VBD,,,
,been,VBN,,,
,an,DT,,,
,exemplary,JJ,,,
,husband,NN,,,
,who,WP,,,
,'d,MD,,,
,cared,VBN,,,
,for,IN,,,
,his,PRP$,,,
,wife,NN,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,.,.,,,
53,All,PDT,Metaphor,,
,the,DT,,,
,main,JJ,,,
,streets,NNS,,,
,are,VBP,,,
,covered,VBN,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
54,The,DT,Metaphor,,
,terror,NN,,,
,suspects,NNS,,,
,were,VBD,,,
,tailed,VBN,,,
,around,IN,,,
,the,DT,,,
,clock,NN,,,
,by,IN,,,
,surveillance,NN,,,
,teams,NNS,,,
,of,IN,,,
,about,IN,,,
,a,DT,,,
,dozen,NN,,,
,officers,NNS,,,
,each,DT,,,
55,behind,IN,Euphemism,out-dated,
,the,DT,,,
,times,NNS,,,
56,You,PRP,Euphemism,,
,'re,VBP,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,",",",",,,
,said,VBD,,,
,Wexford,NNP,,,
57,being,VBG,Euphemism,,
,out,IN,,,
,of,IN,,,
,one,CD,,,
,'s,POS,,,
,own,JJ,,,
,country,NN,,,
,for,IN,,,
,such,JJ,,,
,long,JJ,,,
,stretches,NNS,,,
,of,IN,,,
,time,NN,,,
,",",",",,,
,left,VBD,,,
,one,CD,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,.,.,,,
58,As,IN,Euphemism,,
,we,PRP,,,
,went,VBD,,,
,towards,IN,,,
,the,DT,,,
,platforms,NNS,,,
,",",",",,,
,I,PRP,,,
,said,VBD,,,
,",",",",,,
,she,PRP,,,
,'s,VBZ,,,
,frightened,VBN,,,
,of,IN,,,
,seeming,VBG,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
59,But,CC,Euphemism,,
,I,PRP,,,
,grant,VBP,,,
,you,PRP,,,
,that,IN,,,
,I,PRP,,,
,'m,VBP,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,in,IN,,,
,some,DT,,,
,ways,NNS,,,
60,like,IN,Euphemism,,
,I,PRP,,,
,was,VBD,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,and,CC,,,
,needed,VBN,,,
,to,TO,,,
,catch,VB,,,
,up,RP,,,
,with,IN,,,
,the,DT,,,
,latest,JJS,,,
,ideas,NNS,,,
61,You,PRP,Euphemism,,
,'re,VBP,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,",",",",,,
,Arthur,NNP,,,
,",",",",,,
,you,PRP,,,
,'re,VBP,,,
,old-fashioned,JJ,,,
62,Unfortunately,RB,Euphemism,,
,",",",",,,
,their,PRP$,,,
,conception,NN,,,
,of,IN,,,
,American,JJ,,,
,culture,NN,,,
,woefully,RB,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,and,CC,,,
,Cameron,NNP,,,
,Smith,NNP,,,
,convinces,VBZ,,,
,his,PRP$,,,
,superiors,NNS,,,
,to,TO,,,
,allow,VB,,,
,him,PRP,,,
,to,TO,,,
,give,VB,,,
,the,DT,,,
,place,NN,,,
,a,DT,,,
,more,RBR,,,
,modern,JJ,,,
,look,NN,,,
63,Newtonmore,NN,Euphemism,,
,is,VBZ,,,
,a,DT,,,
,little,JJ,,,
,quiet,JJ,,,
,;,:,,,
,some,DT,,,
,would,MD,,,
,say,VB,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,.,.,,,
64,rugby,NN,Euphemism,,
,followers,NNS,,,
,are,VBP,,,
,desperate,JJ,,,
,for,IN,,,
,the,DT,,,
,game,NN,,,
,'s,POS,,,
,authorities,NNS,,,
,to,TO,,,
,accept,VB,,,
,that,IN,,,
,their,PRP$,,,
,game,NN,,,
,has,VBZ,,,
,slipped,VBN,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
65,There,EX,Euphemism,,
,'s,VBZ,,,
,no,DT,,,
,virtue,NN,,,
,in,IN,,,
,being,VBG,,,
,ten,JJ,,,
,or,CC,,,
,twenty,CD,,,
,years,NNS,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
66,the,DT,Euphemism,,
,UK,NNP,,,
,book,NN,,,
,business,NN,,,
,may,MD,,,
,seem,VB,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,to,TO,,,
,an,DT,,,
,outsider,NN,,,
67,However,RB,Euphemism,,
,the,DT,,,
,lack,NN,,,
,of,IN,,,
,any,DT,,,
,real,JJ,,,
,on-screen,JJ,,,
,help,NN,,,
,and,CC,,,
,virtually,RB,,,
,no,DT,,,
,graphics,NNS,,,
,capability,NN,,,
,puts,VBZ,,,
,InteCalc,NNP,,,
,about,IN,,,
,a,DT,,,
,year,NN,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,in,IN,,,
,terms,NNS,,,
,of,IN,,,
,user,NN,,,
,friendliness,NN,,,
,and,CC,,,
,features,NNS,,,
68,I,PRP,Euphemism,,
,may,MD,,,
,be,VB,,,
,a,DT,,,
,little,JJ,,,
,bit,NN,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,",",",",,,
,but,CC,,,
,over,IN,,,
,the,DT,,,
,last,JJ,,,
,couple,NN,,,
,of,IN,,,
,days,NNS,,,
,I,PRP,,,
,'ve,VBP,,,
,been,VBN,,,
,experimenting,VBG,,,
,with,IN,,,
,voice,NN,,,
,mail,NN,,,
69,White,NNP,Euphemism,,
,Paper,NNP,,,
,on,IN,,,
,the,DT,,,
,environment,NN,,,
,",",",",,,
,which,WDT,,,
,described,VBD,,,
,French,JJ,,,
,waste,NN,,,
,disposal,NN,,,
,techniques,NNS,,,
,as,IN,,,
,being,VBG,,,
,``,``,,,
,15,CD,,,
,years,NNS,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
,``,``,,,
70,A,DT,Euphemism,,
,corporate,JJ,,,
,publication,NN,,,
,produced,VBN,,,
,on,IN,,,
,behalf,NN,,,
,of,IN,,,
,a,DT,,,
,distinguished,JJ,,,
,client,NN,,,
,wo,MD,,,
,n't,RB,,,
,want,VB,,,
,to,TO,,,
,appear,VB,,,
,flash,NN,,,
,",",",",,,
,but,CC,,,
,nor,CC,,,
,will,MD,,,
,it,PRP,,,
,want,VB,,,
,to,TO,,,
,risk,VB,,,
,seeming,VBG,,,
,stuffy,NN,,,
,and,CC,,,
,behind,IN,,,
,the,DT,,,
,times,NNS,,,
71,call,VB,Metaphor,stop doing something,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
72,I,PRP,Metaphor,,
,thought,VBD,,,
,well,RB,,,
,then,RB,,,
,I,PRP,,,
,'ll,MD,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,there,RB,,,
,",",",",,,
,and,CC,,,
,that,DT,,,
,'ll,MD,,,
,be,VB,,,
,that,IN,,,
73,We,PRP,Metaphor,,
,might,MD,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,at,IN,,,
,the,DT,,,
,end,NN,,,
,of,IN,,,
,the,DT,,,
,assignments,NNS,,,
74,it,PRP,Metaphor,,
,'s,VBZ,,,
,eleven,JJ,,,
,o'clock,RB,,,
,.,.,,,
,We,PRP,,,
,'ve,VBP,,,
,got,VBN,,,
,ta,IN,,,
,call,NN,,,
,it,PRP,,,
,",",",",,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,now,RB,,,
75,come,VB,Metaphor,,
,back,RB,,,
,here,RB,,,
,at,IN,,,
,twenty,JJ,,,
,past,NN,,,
,six,CD,,,
,for,IN,,,
,a,DT,,,
,debrief,NN,,,
,and,CC,,,
,then,RB,,,
,we,PRP,,,
,'ll,MD,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
76,all,PDT,Metaphor,,
,the,DT,,,
,cinema-goers,NNS,,,
,had,VBD,,,
,gone,VBN,,,
,in,IN,,,
,for,IN,,,
,the,DT,,,
,late,JJ,,,
,shows,NNS,,,
,",",",",,,
,at,IN,,,
,which,WDT,,,
,point,NN,,,
,I,PRP,,,
,decided,VBD,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
77,So,RB,Metaphor,,
,he,PRP,,,
,agreed,VBD,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
78,The,DT,Metaphor,,
,fair,JJ,,,
,man,NN,,,
,whispered,VBD,,,
,to,TO,,,
,her,PRP$,,,
,",",",",,,
,','',,,
,One,CD,,,
,final,JJ,,,
,piece,NN,,,
,and,CC,,,
,then,RB,,,
,we,PRP,,,
,'ll,MD,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
79,Whitlock,NNP,Metaphor,,
,had,VBD,,,
,wanted,VBN,,,
,to,TO,,,
,remain,VB,,,
,on,IN,,,
,duty,NN,,,
,for,IN,,,
,the,DT,,,
,banquet,NN,,,
,at,IN,,,
,the,DT,,,
,United,NNP,,,
,Nations,NNPS,,,
,that,IN,,,
,evening,VBG,,,
,but,CC,,,
,Kolchinsky,NNP,,,
,had,VBD,,,
,told,VBN,,,
,him,PRP,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
80,the,DT,Metaphor,,
,list,NN,,,
,still,RB,,,
,had,VBD,,,
,over,IN,,,
,fifty,JJ,,,
,names,NNS,,,
,on,IN,,,
,it,PRP,,,
,.,.,,,
,She,PRP,,,
,decided,VBD,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
81,Would,MD,Metaphor,,
,n't,RB,,,
,he,PRP,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,",",",",,,
,and,CC,,,
,let,VB,,,
,me,PRP,,,
,go,VB,,,
,home,NN,,,
82,I,PRP,Metaphor,,
,would,MD,,,
,``,``,,,
,quite,RB,,,
,understand,JJ,,,
,``,``,,,
,if,IN,,,
,she,PRP,,,
,wanted,VBD,,,
,to,TO,,,
,cut,VB,,,
,her,PRP$,,,
,losses,NNS,,,
,and,CC,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
83,By,IN,Metaphor,,
,five,CD,,,
,o'clock,NNS,,,
,",",",",,,
,just,RB,,,
,as,IN,,,
,Merrill,NNP,,,
,was,VBD,,,
,about,IN,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,",",",",,,
,she,PRP,,,
,was,VBD,,,
,offered,VBN,,,
,the,DT,,,
,lease,NN,,,
,on,IN,,,
,a,DT,,,
,small,JJ,,,
,flat,JJ,,,
84,The,DT,Metaphor,,
,director,NN,,,
,'s,POS,,,
,finally,RB,,,
,decided,VBD,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,",",",",,,
,','',,,
,he,PRP,,,
,said,VBD,,,
,.,.,,,
85,she,PRP,Metaphor,,
,could,MD,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,and,CC,,,
,go,VB,,,
,home,NN,,,
,gracefully,RB,,,
,.,.,,,
86,But,CC,Metaphor,,
,surgeons,NNS,,,
,were,VBD,,,
,forced,VBN,,,
,to,TO,,,
,call,VB,,,
,it,PRP,,,
,a,DT,,,
,day,NN,,,
,because,IN,,,
,they,PRP,,,
,could,MD,,,
,n't,RB,,,
,find,VB,,,
,the,DT,,,
,right,NN,,,
,tools,NNS,,,
,for,IN,,,
,the,DT,,,
,job,NN,,,
,.,.,,,
87,a,DT,Metaphor,a long time,
,month,NN,,,
,of,IN,,,
,sundays,NNS,,,
88,Fidelma,NNP,Metaphor,,
,was,VBD,,,
,as,IN,,,
,unlikely,JJ,,,
,a,DT,,,
,lady,NN,,,
,'s,POS,,,
,maid,NN,,,
,as,IN,,,
,one,CD,,,
,could,MD,,,
,hope,VB,,,
,to,TO,,,
,find,VB,,,
,in,IN,,,
,a,DT,,,
